"id","grade","ref","tau","lvBeta","lvA","lvEes","laEmax","laEmin","laV0","vStressed","svr","cSys","pvr","hr","LAP","CO","SV","MAP","coMax","winLo","winHi","window","toWet","lap500","lap1000","co500","co1000","lapDiur","coDiur","aftLAP","aftSVpct","aftMAP","surgeLAP","surgeMAP","af70CO","af70LAP","af110CO","af110LAP","af130CO","af130LAP"
"g3-005",3,0,0.064432,0.059452,0.31491,2.8382,0.98453,0.44907,63.007,1065.1,1.3248,0.75428,0.107,74.638,24.847,3.3402,44.753,84.286,3.3402,-1570,-850,720,0,3.6636,7.2128,-0.0066224,-0.0244,-8.2808,-0.091553,1.5857,-13.087,21.226,5.9708,26.085,-13.9,-0.88118,4.9547,-2.2208,-1.9526,-0.99333
"g3-006",3,0,0.076284,0.051567,0.29919,3.5311,0.99164,0.35362,93.997,1109.7,1.4486,0.85127,0.072594,69.683,21.952,3.6651,52.591,101.28,3.6654,-1650,-570,1080,0,3.4537,6.882,-0.0021395,-0.014575,-7.1124,-0.079208,1.1811,-11.409,27.872,5.2411,33.627,-12.527,-0.25311,-8.1268,1.4386,-18.666,5.1815
"g3-007",3,0,0.068578,0.057932,0.3332,4.3926,1.4316,0.37984,68.959,1040.8,1.4028,0.6533,0.070233,76.62,23.184,3.9985,52.185,104.54,4.008,-1390,-680,710,0,3.6342,7.1973,0.0094694,0.0035398,-7.9072,-0.15921,1.2359,-10.849,30.381,5.6003,36.523,-18.527,-0.070817,-8.87,0.090549,-17.932,3.4964
"g3-008",3,0,0.058436,0.049192,0.27797,2.9743,1.1371,0.39716,71.226,928.46,1.1962,0.91218,0.084292,66.221,17.689,3.6461,55.055,82.821,3.6488,-1350,40,1390,40,3.3816,6.7286,0.00041108,-0.014614,-7.2713,-0.1512,1.1563,-10.797,23.442,5.1798,28.992,-5.8179,-0.4778,10.694,-0.76844,3.1619,1.5259
"g3-009",3,0,0.074347,0.058986,0.29032,3.3809,0.96283,0.46549,83.183,989.5,1.3593,0.74776,0.066933,70.598,22.683,3.3626,47.627,86.285,3.3643,-1440,-600,840,0,3.6449,7.1807,-0.0011138,-0.015771,-8.1706,-0.12141,1.1868,-11.908,23.422,5.5078,28.651,-9.8993,-0.87222,-1.133,-0.91984,-11.113,1.8423
"g3-010",3,0,0.061655,0.055221,0.27514,3.7101,1.465,0.41542,67.143,1138.2,1.3003,0.8324,0.090784,64.781,22.685,3.5921,55.448,90.758,3.5943,-1870,-680,1190,0,3.4006,6.7738,-0.012068,-0.034437,-7.0648,-0.038821,1.3804,-9.9912,26.053,5.3958,31.226,-5.8889,-0.96661,12.279,-1.0065,4.4243,1.6069
"g3-011",3,0,0.059376,0.054837,0.30229,3.1528,1.0235,0.47355,66.902,997.28,1.1999,0.77577,0.096452,67.435,21.15,3.4393,50.999,79.345,3.4393,-1500,-440,1060,0,3.4427,6.8195,-0.011476,-0.034268,-7.6322,-0.095334,1.348,-10.817,22.138,5.4412,27.078,-6.0529,-1.0229,14.139,-1.8307,6.8846,-0.027142
"g3-012",3,0,0.064322,0.054657,0.29366,3.3719,0.9558,0.48509,71.884,1113.4,1.2742,0.84847,0.10122,71.514,22.925,3.6872,51.557,90.657,3.6888,-1720,-700,1020,0,3.3827,6.7241,-0.013551,-0.038049,-7.2614,-0.055681,1.4566,-11.049,24.934,5.4612,29.94,-10.911,-0.93265,5.2418,-0.98485,-2.2905,1.5642
"g3-013",3,0,0.072019,0.054179,0.33784,2.7752,0.91713,0.45041,72.056,1166.9,1.1174,0.63084,0.098344,73.9,25.66,3.5959,48.658,80.047,3.6004,-1820,-1030,790,0,3.4761,6.8963,-0.02054,-0.04893,-7.4431,-0.035017,1.6318,-11.531,20.772,5.7483,25.408,-14.407,-1.0713,1.3928,-1.3509,-6.2195,0.62445
"g3-014",3,0,0.050687,0.056875,0.28014,3.5211,0.89297,0.37394,68.572,1045.9,1.3256,0.85279,0.094614,67.839,21.417,3.4891,51.438,88.337,3.4891,-1500,-480,1020,0,3.4706,6.8927,-0.0065387,-0.02721,-7.4102,-0.07269,1.2839,-10.948,24.739,5.3771,29.938,-7.5608,-0.77371,18.005,-2.0536,12.268,-0.77333
